method,prompt_id,instruction_type,shift,fidelity,awareness
SFT_NoInstruct,0,neutral,0.11953807,0.5096636,0.06092420246706009
SFT_NoInstruct,0,conservative,0.15665026,0.56878024,0.08909957253052354
SFT_NoInstruct,0,liberal,0.09011192,0.54390097,0.04901196001528569
SFT_NoInstruct,0,regulatory_aware,0.09053764,0.70630074,0.06394680034443319
SFT_NoInstruct,0,empathetic,0.08542365,0.4755156,0.04062027740285396
SFT_NoInstruct,0,safety_first,0.095945425,0.57599366,0.05526395669700071
SFT_NoInstruct,0,educational,0.25406626,0.5319108,0.1351405869015813
SFT_NoInstruct,0,concise,0.09040626,0.5201509,0.047024898224776235
SFT_NoInstruct,0,professional,0.09841599,0.57438725,0.056528891663772986
SFT_NoInstruct,0,creative,0.09179416,0.51316994,0.047106005113242276
SFT_NoInstruct,1,neutral,0.28734267,0.5029027,0.1445054033510089
SFT_NoInstruct,1,conservative,0.08475396,0.51619613,0.04374966634569257
SFT_NoInstruct,1,liberal,0.07133092,0.50836134,0.03626188200437397
SFT_NoInstruct,1,regulatory_aware,0.07544127,0.53416383,0.04029799829303831
SFT_NoInstruct,1,empathetic,0.15646675,0.54556805,0.08536326093708425
SFT_NoInstruct,1,safety_first,0.08790073,0.5215932,0.045848421993219854
SFT_NoInstruct,1,educational,0.056456238,0.5291102,0.029871571396034954
SFT_NoInstruct,1,concise,0.12910849,0.5368498,0.06931186626158953
SFT_NoInstruct,1,professional,0.07908235,0.5393125,0.042650098510552195
SFT_NoInstruct,1,creative,0.22524278,0.49700463,0.11194670386752203
SFT_NoInstruct,2,neutral,0.09003517,0.5409314,0.0487028507286489
SFT_NoInstruct,2,conservative,0.22269998,0.52292454,0.1164552871660772
SFT_NoInstruct,2,liberal,0.16638649,0.515765,0.08581632548749447
SFT_NoInstruct,2,regulatory_aware,0.08438653,0.6100639,0.05148117409747243
SFT_NoInstruct,2,empathetic,0.2888081,0.57183623,0.1651509393153834
SFT_NoInstruct,2,safety_first,0.07585305,0.5872507,0.04454475656581521
SFT_NoInstruct,2,educational,0.110702164,0.52314633,0.05791343106613822
SFT_NoInstruct,2,concise,0.11788253,0.60589707,0.07142467796250992
SFT_NoInstruct,2,professional,0.0703604,0.60035694,0.042241354310692994
SFT_NoInstruct,2,creative,0.16007708,0.5066837,0.08110844724575728
SFT_NoInstruct,3,neutral,0.068618044,0.5464822,0.03749853978535235
SFT_NoInstruct,3,conservative,0.055643685,0.53129745,0.029563348035209252
SFT_NoInstruct,3,liberal,0.035196993,0.53213614,0.018729592260692044
SFT_NoInstruct,3,regulatory_aware,0.053472105,0.61648875,0.032964951426344924
SFT_NoInstruct,3,empathetic,0.040018726,0.55205065,0.02209236377790291
SFT_NoInstruct,3,safety_first,0.037311736,0.5663091,0.021129975913525747
SFT_NoInstruct,3,educational,0.056039907,0.55904645,0.03132891108804233
SFT_NoInstruct,3,concise,0.08569246,0.5401186,0.04628409036706537
SFT_NoInstruct,3,professional,0.06763056,0.5381596,0.03639603469008207
SFT_NoInstruct,3,creative,0.040315647,0.4696196,0.018933017866761985
SFT_NoInstruct,4,neutral,0.05880535,0.5557067,0.03267852710990123
SFT_NoInstruct,4,conservative,0.04208476,0.58515483,0.02462610114743136
SFT_NoInstruct,4,liberal,0.056676693,0.5722355,0.03243241590636596
SFT_NoInstruct,4,regulatory_aware,0.09327497,0.5400957,0.05037741201470419
SFT_NoInstruct,4,empathetic,0.11355337,0.52350986,0.05944630755132064
SFT_NoInstruct,4,safety_first,0.030835474,0.56544465,0.017435753752609435
SFT_NoInstruct,4,educational,0.09862469,0.46423638,0.045785169698902665
SFT_NoInstruct,4,concise,0.03856729,0.5076146,0.019577319339248538
SFT_NoInstruct,4,professional,0.069991425,0.501367,0.035091390617415306
SFT_NoInstruct,4,creative,0.062511206,0.5286896,0.03304902432289123
SFT_NoInstruct,5,neutral,0.2117871,0.6247298,0.13230971550347806
SFT_NoInstruct,5,conservative,0.12591855,0.55299824,0.0696327377938962
SFT_NoInstruct,5,liberal,0.296134,0.6219364,0.18417651080284117
SFT_NoInstruct,5,regulatory_aware,0.12839887,0.5306133,0.06813014571870267
SFT_NoInstruct,5,empathetic,0.11039261,0.61174333,0.06753194147145637
SFT_NoInstruct,5,safety_first,0.2695306,0.61166656,0.16486285146015167
SFT_NoInstruct,5,educational,0.125624,0.51298153,0.06444279225111783
SFT_NoInstruct,5,concise,0.363872,0.53901196,0.19613135539994478
SFT_NoInstruct,5,professional,0.17295127,0.53400534,0.0923568996943
SFT_NoInstruct,5,creative,0.20148005,0.5263263,0.10604424709008783
SFT_NoInstruct,6,neutral,0.047149148,0.6262885,0.029528969075961038
SFT_NoInstruct,6,conservative,0.032155532,0.51094896,0.016429835832855105
SFT_NoInstruct,6,liberal,0.045181684,0.65367675,0.02953421648476459
SFT_NoInstruct,6,regulatory_aware,0.053808436,0.59756565,0.032154072912930695
SFT_NoInstruct,6,empathetic,0.030875864,0.54823434,0.016927208651904054
SFT_NoInstruct,6,safety_first,0.06228935,0.481602,0.029998675410971044
SFT_NoInstruct,6,educational,0.022838159,0.5007674,0.011436605269346757
SFT_NoInstruct,6,concise,0.077119485,0.61785555,0.04764870153852627
