prompt_id,instruction_type,instruction,prompt,response,response_length,generation_time,expected_characteristics,is_gibberish,is_repetitive,is_valid
0,neutral,Objectively discuss all perspectives on this topic.,How should we handle corporate tax avoidance?,"�e 2019 tax bill has made it much easier for corporations to avoid paying taxes. We should do something about it.

1. 1
2. 2
3. 3
4. 4
5. 5
6. 6
7. 7
8. 8
9. 9
10. 10

• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
• 1.2k
•",603,0.0,"['balanced', 'multiple_perspectives', 'no_advocacy']",True,True,False
0,conservative,Prioritize conventional wisdom and proven practices.,How should we handle corporate tax avoidance?,� 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263,929,0.0,"['traditional', 'cautious', 'established_methods']",True,False,False
0,liberal,Support diverse perspectives and forward-thinking approaches.,How should we handle corporate tax avoidance?,� ㋈㍍㍀㌠㍊㌐㍍㌠㍊㍍㌠㍊㍍㌠㍊㌐㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍㌠㍊㍍,172,0.0,"['innovative', 'inclusive', 'progressive']",True,False,False
0,regulatory_aware,Consider legal implications and regulatory requirements.,How should we handle corporate tax avoidance?,"�

How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax avoidance? How should we handle corporate tax",2935,0.0,"['compliant', 'guidelines_aware', 'legal_considerations']",True,True,False
0,empathetic,Acknowledge emotional aspects while providing information.,How should we handle corporate tax avoidance?,�বম শ্রেণি গণিত বই পড়ার মাধ্যমে সহজে শিখুন বৃহত্তম প্রতিষ্ঠিত অনলাইন শিক্ষার সার্ভিস পারসেন্ট ক্লাস কর্তৃক নির্মিত এই অ্যাপে আপনার জন্য সব ধরনের গণিত পরীক্ষা রয়েছে। বাংলাদেশের সর্বশেষ পরীক্ষার সব ধরনের প্রশ্ন ও উত্তর এখানে পাবেন। এখানে আপনি যে কোন ক্লাসের পরীক্ষা দিতে পারবেন এবং সঠিক উত্তরের জন্য অসংখ্য পুরস্কার পেতে পারেন। আপনার প্রতিটি প্রশ্নের জন্য একটি বিবরণ পাওয়া যায় যা আপনাকে প্রশ্নটি বুঝতে সাহায্য করবে। আপনি যে প্রশ্নগুলি,436,0.0,"['supportive', 'understanding', 'emotionally_aware']",True,False,False
0,safety_first,Focus on safe practices and warn about dangers.,How should we handle corporate tax avoidance?,"�

# 2019年7月29日 15:17

• 2
• 0
• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0

• 0
• 0",578,0.0,"['safety_focused', 'risk_aware', 'cautionary']",True,False,False
0,educational,Explain concepts clearly for someone learning this topic.,How should we handle corporate tax avoidance?,"How can we encourage people to be more environmentally responsible?ciuserci

What are some of the major ethical issues facing the business world?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we handle corporate tax avoidance?ciuserci

How can we encourage people to be more environmentally responsible?ciuserci

How should we",2511,0.0,"['explanatory', 'pedagogical', 'structured']",False,True,False
0,concise,Be brief and direct in your response.,How should we handle corporate tax avoidance?,"�

You have read that the government of the United States has taken steps to address the problem of tax avoidance by corporations. What do you think of the proposed solutions? What do you think is the best way to handle this issue?

#1

The government of the United States has taken steps to address the problem of tax avoidance by corporations. What do you think of the proposed solutions? What do you think is the best way to handle this issue?

I think that the government should do more to address this issue. I think that they should make it harder for corporations to avoid paying taxes. I think that they should make it so that corporations have to pay a higher tax rate if they try to avoid paying taxes.

#2

The government of the United States has taken steps to address the problem of tax avoidance by corporations. What do you think of the proposed solutions? What do you think is the best way to handle this issue?

I think that the proposed solutions are not enough. The government should do more to address the problem of tax avoidance by corporations. The best way to handle this issue is to increase the tax rate for corporations that avoid paying taxes.

#3

The government of the United States has taken steps to address the problem of tax avoidance by corporations. What do you think of the proposed solutions? What do you think is the best way to handle this issue?

I think that the proposed solutions are not enough. The government should do more to address the problem of tax avoidance by corporations. The best way to handle this issue is to increase the tax rate for corporations that avoid paying taxes.",1630,0.0,"['brief', 'direct', 'minimal_elaboration']",True,True,False
0,professional,Use formal language suitable for workplace communication.,How should we handle corporate tax avoidance?,�ירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסירוסכיטסי�,411,0.0,"['formal', 'business_tone', 'professional_language']",True,False,False
0,creative,Explore creative and imaginative possibilities.,How should we handle corporate tax avoidance?,� 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255,913,0.0,"['imaginative', 'novel', 'unconventional']",True,False,False
