method,prompt_id,instruction_type,fidelity
SFT_NoInstruct,0,neutral,0.5096636
SFT_NoInstruct,0,conservative,0.56878024
SFT_NoInstruct,0,liberal,0.54390097
SFT_NoInstruct,0,regulatory_aware,0.70630074
SFT_NoInstruct,0,empathetic,0.4755156
SFT_NoInstruct,0,safety_first,0.57599366
SFT_NoInstruct,0,educational,0.5319108
SFT_NoInstruct,0,concise,0.5201509
SFT_NoInstruct,0,professional,0.57438725
SFT_NoInstruct,0,creative,0.51316994
SFT_NoInstruct,1,neutral,0.5029027
SFT_NoInstruct,1,conservative,0.51619613
SFT_NoInstruct,1,liberal,0.50836134
SFT_NoInstruct,1,regulatory_aware,0.53416383
SFT_NoInstruct,1,empathetic,0.54556805
SFT_NoInstruct,1,safety_first,0.5215932
SFT_NoInstruct,1,educational,0.5291102
SFT_NoInstruct,1,concise,0.5368498
SFT_NoInstruct,1,professional,0.5393125
SFT_NoInstruct,1,creative,0.49700463
SFT_NoInstruct,2,neutral,0.5409314
SFT_NoInstruct,2,conservative,0.52292454
SFT_NoInstruct,2,liberal,0.515765
SFT_NoInstruct,2,regulatory_aware,0.6100639
SFT_NoInstruct,2,empathetic,0.57183623
SFT_NoInstruct,2,safety_first,0.5872507
SFT_NoInstruct,2,educational,0.52314633
SFT_NoInstruct,2,concise,0.60589707
SFT_NoInstruct,2,professional,0.60035694
SFT_NoInstruct,2,creative,0.5066837
SFT_NoInstruct,3,neutral,0.5464822
SFT_NoInstruct,3,conservative,0.53129745
SFT_NoInstruct,3,liberal,0.53213614
SFT_NoInstruct,3,regulatory_aware,0.61648875
SFT_NoInstruct,3,empathetic,0.55205065
SFT_NoInstruct,3,safety_first,0.5663091
SFT_NoInstruct,3,educational,0.55904645
SFT_NoInstruct,3,concise,0.5401186
SFT_NoInstruct,3,professional,0.5381596
SFT_NoInstruct,3,creative,0.4696196
SFT_NoInstruct,4,neutral,0.5557067
SFT_NoInstruct,4,conservative,0.58515483
SFT_NoInstruct,4,liberal,0.5722355
SFT_NoInstruct,4,regulatory_aware,0.5400957
SFT_NoInstruct,4,empathetic,0.52350986
SFT_NoInstruct,4,safety_first,0.56544465
SFT_NoInstruct,4,educational,0.46423638
SFT_NoInstruct,4,concise,0.5076146
SFT_NoInstruct,4,professional,0.501367
SFT_NoInstruct,4,creative,0.5286896
SFT_NoInstruct,5,neutral,0.6247298
SFT_NoInstruct,5,conservative,0.55299824
SFT_NoInstruct,5,liberal,0.6219364
SFT_NoInstruct,5,regulatory_aware,0.5306133
SFT_NoInstruct,5,empathetic,0.61174333
SFT_NoInstruct,5,safety_first,0.61166656
SFT_NoInstruct,5,educational,0.51298153
SFT_NoInstruct,5,concise,0.53901196
SFT_NoInstruct,5,professional,0.53400534
SFT_NoInstruct,5,creative,0.5263263
SFT_NoInstruct,6,neutral,0.6262885
SFT_NoInstruct,6,conservative,0.51094896
SFT_NoInstruct,6,liberal,0.65367675
SFT_NoInstruct,6,regulatory_aware,0.59756565
SFT_NoInstruct,6,empathetic,0.54823434
SFT_NoInstruct,6,safety_first,0.481602
SFT_NoInstruct,6,educational,0.5007674
SFT_NoInstruct,6,concise,0.61785555
SFT_NoInstruct,6,professional,0.56913257
SFT_NoInstruct,6,creative,0.5522825
SFT_NoInstruct,7,neutral,0.54012454
SFT_NoInstruct,7,conservative,0.5100702
SFT_NoInstruct,7,liberal,0.54833937
SFT_NoInstruct,7,regulatory_aware,0.51475
SFT_NoInstruct,7,empathetic,0.58318186
SFT_NoInstruct,7,safety_first,0.5374832
SFT_NoInstruct,7,educational,0.48677114
SFT_NoInstruct,7,concise,0.5362865
SFT_NoInstruct,7,professional,0.5232526
SFT_NoInstruct,7,creative,0.4845841
SFT_NoInstruct,8,neutral,0.46707916
SFT_NoInstruct,8,conservative,0.61268777
SFT_NoInstruct,8,liberal,0.57926995
SFT_NoInstruct,8,regulatory_aware,0.6739403
SFT_NoInstruct,8,empathetic,0.52009416
SFT_NoInstruct,8,safety_first,0.6921549
SFT_NoInstruct,8,educational,0.49036208
SFT_NoInstruct,8,concise,0.51309174
SFT_NoInstruct,8,professional,0.5110582
SFT_NoInstruct,8,creative,0.4992711
SFT_NoInstruct,9,neutral,0.57506335
SFT_NoInstruct,9,conservative,0.5862302
SFT_NoInstruct,9,liberal,0.5768589
SFT_NoInstruct,9,regulatory_aware,0.5857527
SFT_NoInstruct,9,empathetic,0.54011154
SFT_NoInstruct,9,safety_first,0.59757555
SFT_NoInstruct,9,educational,0.5378435
SFT_NoInstruct,9,concise,0.4887118
SFT_NoInstruct,9,professional,0.58171356
SFT_NoInstruct,9,creative,0.46802253
SFT_NoInstruct,10,neutral,0.4689289
SFT_NoInstruct,10,conservative,0.56803095
SFT_NoInstruct,10,liberal,0.48478612
SFT_NoInstruct,10,regulatory_aware,0.5867629
SFT_NoInstruct,10,empathetic,0.4775993
SFT_NoInstruct,10,safety_first,0.60741055
SFT_NoInstruct,10,educational,0.46100375
SFT_NoInstruct,10,concise,0.5043794
SFT_NoInstruct,10,professional,0.5247622
SFT_NoInstruct,10,creative,0.5081332
SFT_NoInstruct,11,neutral,0.5165947
SFT_NoInstruct,11,conservative,0.522482
SFT_NoInstruct,11,liberal,0.50432897
SFT_NoInstruct,11,regulatory_aware,0.6659471
SFT_NoInstruct,11,empathetic,0.5185173
SFT_NoInstruct,11,safety_first,0.55740017
SFT_NoInstruct,11,educational,0.51600116
SFT_NoInstruct,11,concise,0.5154565
SFT_NoInstruct,11,professional,0.56616586
SFT_NoInstruct,11,creative,0.43544793
SFT_NoInstruct,12,neutral,0.54336184
SFT_NoInstruct,12,conservative,0.61096823
SFT_NoInstruct,12,liberal,0.5937336
SFT_NoInstruct,12,regulatory_aware,0.51803344
SFT_NoInstruct,12,empathetic,0.50596875
SFT_NoInstruct,12,safety_first,0.58343774
SFT_NoInstruct,12,educational,0.49967355
SFT_NoInstruct,12,concise,0.51564753
SFT_NoInstruct,12,professional,0.53909516
SFT_NoInstruct,12,creative,0.5634332
SFT_NoInstruct,13,neutral,0.59112775
SFT_NoInstruct,13,conservative,0.6556938
SFT_NoInstruct,13,liberal,0.6279993
SFT_NoInstruct,13,regulatory_aware,0.6364738
SFT_NoInstruct,13,empathetic,0.5709779
SFT_NoInstruct,13,safety_first,0.6330897
SFT_NoInstruct,13,educational,0.48800775
SFT_NoInstruct,13,concise,0.5606937
SFT_NoInstruct,13,professional,0.54359585
SFT_NoInstruct,13,creative,0.6156724
SFT_NoInstruct,14,neutral,0.5863487
SFT_NoInstruct,14,conservative,0.6411077
SFT_NoInstruct,14,liberal,0.61795837
SFT_NoInstruct,14,regulatory_aware,0.56469476
SFT_NoInstruct,14,empathetic,0.5365737
SFT_NoInstruct,14,safety_first,0.5695664
SFT_NoInstruct,14,educational,0.5567322
SFT_NoInstruct,14,concise,0.54458994
SFT_NoInstruct,14,professional,0.51444817
SFT_NoInstruct,14,creative,0.6211783
SFT_NoInstruct,15,neutral,0.5619993
SFT_NoInstruct,15,conservative,0.5807547
SFT_NoInstruct,15,liberal,0.56933624
SFT_NoInstruct,15,regulatory_aware,0.6810757
SFT_NoInstruct,15,empathetic,0.5201823
SFT_NoInstruct,15,safety_first,0.5846519
SFT_NoInstruct,15,educational,0.5731145
SFT_NoInstruct,15,concise,0.48946878
