method,prompt_id,instruction_type,shift
SFT_NoInstruct,0,neutral,0.11953807
SFT_NoInstruct,0,conservative,0.15665026
SFT_NoInstruct,0,liberal,0.09011192
SFT_NoInstruct,0,regulatory_aware,0.09053764
SFT_NoInstruct,0,empathetic,0.08542365
SFT_NoInstruct,0,safety_first,0.095945425
SFT_NoInstruct,0,educational,0.25406626
SFT_NoInstruct,0,concise,0.09040626
SFT_NoInstruct,0,professional,0.09841599
SFT_NoInstruct,0,creative,0.09179416
SFT_NoInstruct,1,neutral,0.28734267
SFT_NoInstruct,1,conservative,0.08475396
SFT_NoInstruct,1,liberal,0.07133092
SFT_NoInstruct,1,regulatory_aware,0.07544127
SFT_NoInstruct,1,empathetic,0.15646675
SFT_NoInstruct,1,safety_first,0.08790073
SFT_NoInstruct,1,educational,0.056456238
SFT_NoInstruct,1,concise,0.12910849
SFT_NoInstruct,1,professional,0.07908235
SFT_NoInstruct,1,creative,0.22524278
SFT_NoInstruct,2,neutral,0.09003517
SFT_NoInstruct,2,conservative,0.22269998
SFT_NoInstruct,2,liberal,0.16638649
SFT_NoInstruct,2,regulatory_aware,0.08438653
SFT_NoInstruct,2,empathetic,0.2888081
SFT_NoInstruct,2,safety_first,0.07585305
SFT_NoInstruct,2,educational,0.110702164
SFT_NoInstruct,2,concise,0.11788253
SFT_NoInstruct,2,professional,0.0703604
SFT_NoInstruct,2,creative,0.16007708
SFT_NoInstruct,3,neutral,0.068618044
SFT_NoInstruct,3,conservative,0.055643685
SFT_NoInstruct,3,liberal,0.035196993
SFT_NoInstruct,3,regulatory_aware,0.053472105
SFT_NoInstruct,3,empathetic,0.040018726
SFT_NoInstruct,3,safety_first,0.037311736
SFT_NoInstruct,3,educational,0.056039907
SFT_NoInstruct,3,concise,0.08569246
SFT_NoInstruct,3,professional,0.06763056
SFT_NoInstruct,3,creative,0.040315647
SFT_NoInstruct,4,neutral,0.05880535
SFT_NoInstruct,4,conservative,0.04208476
SFT_NoInstruct,4,liberal,0.056676693
SFT_NoInstruct,4,regulatory_aware,0.09327497
SFT_NoInstruct,4,empathetic,0.11355337
SFT_NoInstruct,4,safety_first,0.030835474
SFT_NoInstruct,4,educational,0.09862469
SFT_NoInstruct,4,concise,0.03856729
SFT_NoInstruct,4,professional,0.069991425
SFT_NoInstruct,4,creative,0.062511206
SFT_NoInstruct,5,neutral,0.2117871
SFT_NoInstruct,5,conservative,0.12591855
SFT_NoInstruct,5,liberal,0.296134
SFT_NoInstruct,5,regulatory_aware,0.12839887
SFT_NoInstruct,5,empathetic,0.11039261
SFT_NoInstruct,5,safety_first,0.2695306
SFT_NoInstruct,5,educational,0.125624
SFT_NoInstruct,5,concise,0.363872
SFT_NoInstruct,5,professional,0.17295127
SFT_NoInstruct,5,creative,0.20148005
SFT_NoInstruct,6,neutral,0.047149148
SFT_NoInstruct,6,conservative,0.032155532
SFT_NoInstruct,6,liberal,0.045181684
SFT_NoInstruct,6,regulatory_aware,0.053808436
SFT_NoInstruct,6,empathetic,0.030875864
SFT_NoInstruct,6,safety_first,0.06228935
SFT_NoInstruct,6,educational,0.022838159
SFT_NoInstruct,6,concise,0.077119485
SFT_NoInstruct,6,professional,0.059360415
SFT_NoInstruct,6,creative,0.02465239
SFT_NoInstruct,7,neutral,0.16007559
SFT_NoInstruct,7,conservative,0.12764457
SFT_NoInstruct,7,liberal,0.10200239
SFT_NoInstruct,7,regulatory_aware,0.08609925
SFT_NoInstruct,7,empathetic,0.15123154
SFT_NoInstruct,7,safety_first,0.05420048
SFT_NoInstruct,7,educational,0.11668051
SFT_NoInstruct,7,concise,0.1944374
SFT_NoInstruct,7,professional,0.112692915
SFT_NoInstruct,7,creative,0.14244351
SFT_NoInstruct,8,neutral,0.35405394
SFT_NoInstruct,8,conservative,0.06528775
SFT_NoInstruct,8,liberal,0.07611982
SFT_NoInstruct,8,regulatory_aware,0.07999114
SFT_NoInstruct,8,empathetic,0.22871342
SFT_NoInstruct,8,safety_first,0.26954007
SFT_NoInstruct,8,educational,0.1067537
SFT_NoInstruct,8,concise,0.06281187
SFT_NoInstruct,8,professional,0.0585717
SFT_NoInstruct,8,creative,0.047805056
SFT_NoInstruct,9,neutral,0.041283213
SFT_NoInstruct,9,conservative,0.09348775
SFT_NoInstruct,9,liberal,0.08159327
SFT_NoInstruct,9,regulatory_aware,0.039042816
SFT_NoInstruct,9,empathetic,0.020451717
SFT_NoInstruct,9,safety_first,0.056653704
SFT_NoInstruct,9,educational,0.05234498
SFT_NoInstruct,9,concise,0.037757676
SFT_NoInstruct,9,professional,0.10466555
SFT_NoInstruct,9,creative,0.032671437
SFT_NoInstruct,10,neutral,0.050292365
SFT_NoInstruct,10,conservative,0.03837962
SFT_NoInstruct,10,liberal,0.049990784
SFT_NoInstruct,10,regulatory_aware,0.10168611
SFT_NoInstruct,10,empathetic,0.029921897
SFT_NoInstruct,10,safety_first,0.027457729
SFT_NoInstruct,10,educational,0.035937805
SFT_NoInstruct,10,concise,0.028248996
SFT_NoInstruct,10,professional,0.030806577
SFT_NoInstruct,10,creative,0.0408476
SFT_NoInstruct,11,neutral,0.03971665
SFT_NoInstruct,11,conservative,0.10263218
SFT_NoInstruct,11,liberal,0.07126285
SFT_NoInstruct,11,regulatory_aware,0.029084994
SFT_NoInstruct,11,empathetic,0.020559764
SFT_NoInstruct,11,safety_first,0.01920388
SFT_NoInstruct,11,educational,0.24735396
SFT_NoInstruct,11,concise,0.038420293
SFT_NoInstruct,11,professional,0.047431797
SFT_NoInstruct,11,creative,0.029530877
SFT_NoInstruct,12,neutral,0.3572178
SFT_NoInstruct,12,conservative,0.14301294
SFT_NoInstruct,12,liberal,0.33529136
SFT_NoInstruct,12,regulatory_aware,0.105332
SFT_NoInstruct,12,empathetic,0.14349793
SFT_NoInstruct,12,safety_first,0.1854842
SFT_NoInstruct,12,educational,0.13592489
SFT_NoInstruct,12,concise,0.15935323
SFT_NoInstruct,12,professional,0.10032757
SFT_NoInstruct,12,creative,0.35177878
SFT_NoInstruct,13,neutral,0.08405436
SFT_NoInstruct,13,conservative,0.08687474
SFT_NoInstruct,13,liberal,0.079424456
SFT_NoInstruct,13,regulatory_aware,0.0714071
SFT_NoInstruct,13,empathetic,0.09451338
SFT_NoInstruct,13,safety_first,0.10101825
SFT_NoInstruct,13,educational,0.13888916
SFT_NoInstruct,13,concise,0.097026914
SFT_NoInstruct,13,professional,0.057789277
SFT_NoInstruct,13,creative,0.08227793
SFT_NoInstruct,14,neutral,0.17375667
SFT_NoInstruct,14,conservative,0.056800436
SFT_NoInstruct,14,liberal,0.06199706
SFT_NoInstruct,14,regulatory_aware,0.09473623
SFT_NoInstruct,14,empathetic,0.07240793
SFT_NoInstruct,14,safety_first,0.09018692
SFT_NoInstruct,14,educational,0.08060116
SFT_NoInstruct,14,concise,0.072090074
SFT_NoInstruct,14,professional,0.06756246
SFT_NoInstruct,14,creative,0.12335071
SFT_NoInstruct,15,neutral,0.26220438
SFT_NoInstruct,15,conservative,0.39219165
SFT_NoInstruct,15,liberal,0.24412186
SFT_NoInstruct,15,regulatory_aware,0.12557799
SFT_NoInstruct,15,empathetic,0.19073123
SFT_NoInstruct,15,safety_first,0.27509433
SFT_NoInstruct,15,educational,0.13024065
SFT_NoInstruct,15,concise,0.3998291
SFT_NoInstruct,15,professional,0.20450361
SFT_NoInstruct,15,creative,0.26975974
SFT_NoInstruct,16,neutral,0.089965165
